FUNCTION                                             CALLS        %  TIME  [uS / CALLS]
--------                                             -----  -------  ----  [----------]
elixir_aliases:lookup/3                                  1     0.06     1  [      1.00]
'Elixir.Process':whereis/1                               1     0.06     1  [      1.00]
'Elixir.Inspect.Opts':'__struct__'/0                     2     0.06     1  [      0.50]
erl_anno:new_location/1                                  2     0.06     1  [      0.50]
erl_anno:end_location/1                                  2     0.06     1  [      0.50]
erl_anno:location/1                                      2     0.06     1  [      0.50]
erl_anno:text/1                                          2     0.06     1  [      0.50]
'Elixir.Enum':reduce/3                                   2     0.06     1  [      0.50]
elixir_rewrite:remote/5                                  2     0.06     1  [      0.50]
'Elixir.Inspect':inspect/2                               2     0.06     1  [      0.50]
ordsets:union/2                                          2     0.06     1  [      0.50]
'Elixir.IEx.Evaluator':io_result/1                       2     0.06     1  [      0.50]
erlang:raise/3                                           1     0.06     1  [      1.00]
erlang:error/1                                           1     0.06     1  [      1.00]
io:put_chars/2                                           2     0.11     2  [      1.00]
io:columns/0                                             2     0.11     2  [      1.00]
gen:call/4                                               2     0.11     2  [      1.00]
'Elixir.Application':fetch_env/2                         2     0.11     2  [      1.00]
'Elixir.Application':'fetch_env!'/2                      2     0.11     2  [      1.00]
'Elixir.Application':get_env/2                           2     0.11     2  [      1.00]
'Elixir.Inspect.Atom':inspect/1                          1     0.11     2  [      2.00]
'Elixir.Inspect.Atom':'valid_identifier?'/1              9     0.11     2  [      0.22]
erl_eval:expr_list/4                                     2     0.11     2  [      1.00]
erl_eval:expr_list/6                                     3     0.11     2  [      0.67]
otp_internal:obsolete/3                                  2     0.11     2  [      1.00]
otp_internal:obsolete_1/3                                2     0.11     2  [      1.00]
erl_internal:bif/3                                       2     0.11     2  [      1.00]
elixir_dispatch:dispatch_require/6                       2     0.11     2  [      1.00]
elixir_dispatch:required/1                               2     0.11     2  [      1.00]
elixir_dispatch:check_deprecation/5                      2     0.11     2  [      1.00]
queue:in/2                                               2     0.11     2  [      1.00]
sets:new/0                                               2     0.11     2  [      1.00]
sets:mk_seg/1                                            2     0.11     2  [      1.00]
elixir_utils:get_line/1                                  2     0.11     2  [      1.00]
elixir_utils:get_ann/3                                   4     0.11     2  [      0.50]
elixir_translator:assert_allowed_in_context/5            2     0.11     2  [      1.00]
code_server:call/1                                       3     0.11     2  [      0.67]
'Elixir.Inspect.Algebra':default_mode/1                  2     0.11     2  [      1.00]
elixir_exp:expand_remote/7                               2     0.11     2  [      1.00]
elixir_exp:expand_aliases/3                              1     0.11     2  [      2.00]
elixir_exp:'-expand_aliases/3-fun-0-'/1                  2     0.11     2  [      1.00]
elixir_exp:'-expand_args/2-fun-1-'/2                     2     0.11     2  [      1.00]
elixir_exp:'-expand/2-fun-2-'/7                          2     0.11     2  [      1.00]
'Elixir.Kernel':inspect/2                                2     0.11     2  [      1.00]
code:call/1                                              3     0.11     2  [      0.67]
dict:store/3                                             2     0.11     2  [      1.00]
dict:maybe_expand_aux/2                                  2     0.11     2  [      1.00]
dict:'-store/3-fun-0-'/3                                 2     0.11     2  [      1.00]
dict:'-from_list/1-fun-0-'/2                             2     0.11     2  [      1.00]
elixir_parser:meta_from_location/1                       4     0.11     2  [      0.50]
elixir_parser:build_dot/3                                2     0.11     2  [      1.00]
elixir_parser:extract_identifier/1                       2     0.11     2  [      1.00]
elixir_parser:build_identifier/2                         2     0.11     2  [      1.00]
elixir_parser:to_block/1                                 2     0.11     2  [      1.00]
elixir_parser:yeccpars0/5                                2     0.11     2  [      1.00]
elixir_parser:yeccpars1/5                                2     0.11     2  [      1.00]
elixir_parser:yecc_end/1                                 2     0.11     2  [      1.00]
elixir_parser:yeccpars2_32/7                             2     0.11     2  [      1.00]
elixir_parser:yeccpars2_122/7                            3     0.11     2  [      0.67]
elixir_parser:yeccpars2_127/7                            3     0.11     2  [      0.67]
elixir_parser:yeccpars2_187/7                            2     0.11     2  [      1.00]
elixir_parser:yeccpars2_411/7                            2     0.11     2  [      1.00]
elixir_parser:yeccgoto_call_args_parens/7                2     0.11     2  [      1.00]
elixir_parser:yeccgoto_eoe/7                             2     0.11     2  [      1.00]
elixir_tokenizer:tokenize/4                              4     0.11     2  [      0.50]
elixir_tokenizer:strip_horizontal_space/2                3     0.11     2  [      0.67]
elixir_tokenizer:eol/3                                   2     0.11     2  [      1.00]
elixir_tokenizer:tokenize_alias/8                        2     0.11     2  [      1.00]
elixir_lexical:record_remote/3                           1     0.11     2  [      2.00]
'Elixir.IO.ANSI':'enabled?'/0                            6     0.11     2  [      0.33]
'Elixir.IO.ANSI':format/2                                2     0.11     2  [      1.00]
'Elixir.IO.ANSI':yellow/0                                3     0.11     2  [      0.67]
'Elixir.IEx.Config':color/1                              2     0.11     2  [      1.00]
'Elixir.IEx.Config':default_color/1                      6     0.11     2  [      0.33]
elixir_env:mergev/2                                      2     0.11     2  [      1.00]
elixir_env:merge_vars/2                                  2     0.11     2  [      1.00]
elixir_env:merge_opt_vars/2                              2     0.11     2  [      1.00]
orddict:from_list/1                                      2     0.11     2  [      1.00]
orddict:merge/3                                          5     0.11     2  [      0.40]
erl_lint:pack_errors/1                                   2     0.11     2  [      1.00]
erl_lint:nowarn_function/2                               2     0.11     2  [      1.00]
erl_lint:check_remote_function/5                         2     0.11     2  [      1.00]
erl_lint:check_qlc_hrl/5                                 2     0.11     2  [      1.00]
erl_lint:keyword_warning/3                               2     0.11     2  [      1.00]
erl_lint:'-set_file/2-lc$^0/1-0-'/2                      4     0.11     2  [      0.50]
erl_lint:'-pack_warnings/1-lc$^0/1-2-'/1                 4     0.11     2  [      0.50]
'Elixir.List':wrap/1                                     2     0.11     2  [      1.00]
gb_sets:from_ordset/1                                    4     0.11     2  [      0.50]
elixir_aliases:expand/4                                  1     0.11     2  [      2.00]
elixir_aliases:concat/1                                  1     0.11     2  [      2.00]
elixir_aliases:do_concat/2                               3     0.11     2  [      0.67]
'Elixir.Process':delete/1                                2     0.11     2  [      1.00]
'Elixir.String.Chars.Integer':to_string/1                7     0.11     2  [      0.29]
erl_anno:new/1                                           2     0.11     2  [      1.00]
'Elixir.Game.PlayerServerPool':'__info__'/1              1     0.11     2  [      2.00]
'Elixir.Game.PlayerServerPool':lookup_player/1           1     0.11     2  [      2.00]
erlang:min/2                                             4     0.11     2  [      0.50]
'Elixir.IEx.History.State':prune/2                       2     0.11     2  [      1.00]
'Elixir.IEx.History.State':prune/4                       2     0.11     2  [      1.00]
elixir_rewrite:inline/3                                  2     0.11     2  [      1.00]
elixir_rewrite:rewrite/3                                 2     0.11     2  [      1.00]
erl_parse:map_anno/2                                     2     0.11     2  [      1.00]
'Elixir.Inspect':impl_for/1                              2     0.11     2  [      1.00]
'Elixir.List.Chars':impl_for/1                           2     0.11     2  [      1.00]
elixir:string_to_quoted/4                                2     0.11     2  [      1.00]
maps:to_list/1                                           2     0.11     2  [      1.00]
erlang:function_exported/3                               2     0.11     2  [      1.00]
io:execute_request/2                                     4     0.17     3  [      0.75]
io:default_output/0                                      2     0.17     3  [      1.50]
erl_eval:do_apply/6                                      2     0.17     3  [      1.50]
erl_eval:merge_bindings/2                                3     0.17     3  [      1.00]
'Elixir.Keyword':put_new_lazy/3                          2     0.17     3  [      1.50]
lists:all/2                                              3     0.17     3  [      1.00]
lists:usplit_2_1/6                                       4     0.17     3  [      0.75]
elixir_utils:get_ann/1                                   2     0.17     3  [      1.50]
elixir_translator:translate_args/2                       2     0.17     3  [      1.50]
'Elixir.Inspect.Algebra':format/2                        2     0.17     3  [      1.50]
'Elixir.Inspect.Algebra':to_doc/2                        2     0.17     3  [      1.50]
'Elixir.IO':puts/2                                       2     0.17     3  [      1.50]
'Elixir.Kernel':struct/2                                 2     0.17     3  [      1.50]
'Elixir.IEx.History':append/3                            2     0.17     3  [      1.50]
elixir_scope:mergev/2                                    2     0.17     3  [      1.50]
elixir_scope:mergec/2                                    2     0.17     3  [      1.50]
elixir_scope:load_binding/2                              2     0.17     3  [      1.50]
elixir_scope:load_binding/5                              2     0.17     3  [      1.50]
dict:from_list/1                                         2     0.17     3  [      1.50]
elixir_parser:meta_from_token/2                          1     0.17     3  [      3.00]
elixir_parser:parse/1                                    2     0.17     3  [      1.50]
elixir_parser:yecctoken_end_location/1                   2     0.17     3  [      1.50]
elixir_parser:yeccpars2_0/7                              2     0.17     3  [      1.50]
elixir_parser:yeccpars2_16/7                             5     0.17     3  [      0.60]
elixir_parser:yeccpars2_17/7                             5     0.17     3  [      0.60]
elixir_parser:yeccpars2_39/7                             6     0.17     3  [      0.50]
elixir_parser:yeccgoto_access_expr/7                     6     0.17     3  [      0.50]
elixir_parser:yeccgoto_dot_alias/7                       2     0.17     3  [      1.50]
elixir_parser:yeccgoto_dot_op/7                          3     0.17     3  [      1.00]
elixir_parser:yeccgoto_matched_expr/7                    6     0.17     3  [      0.50]
elixir_parser:yeccgoto_max_expr/7                        5     0.17     3  [      0.60]
elixir_tokenizer:tokenize/3                              2     0.17     3  [      1.50]
elixir_tokenizer:handle_terminator/6                     4     0.17     3  [      0.75]
elixir_lexical:record_remote/6                           2     0.17     3  [      1.50]
'Elixir.IEx.Config':columns/0                            2     0.17     3  [      1.50]
unicode:characters_to_list/1                             2     0.17     3  [      1.50]
orddict:to_list/1                                        5     0.17     3  [      0.60]
erl_lint:value_option/7                                  2     0.17     3  [      1.50]
erl_lint:exprs_opt/3                                     2     0.17     3  [      1.50]
erl_lint:start/2                                         2     0.17     3  [      1.50]
erl_lint:set_file/2                                      2     0.17     3  [      1.50]
erl_lint:anno_set_file/2                                 2     0.17     3  [      1.50]
erl_lint:deprecated_function/5                           2     0.17     3  [      1.50]
erl_lint:'-nowarn_function/2-lc$^0/1-0-'/2               6     0.17     3  [      0.50]
erl_lint:'-value_option/7-fun-0-'/7                      4     0.17     3  [      0.75]
gb_sets:balance_list/2                                   4     0.17     3  [      0.75]
elixir_aliases:do_concat/1                               2     0.17     3  [      1.50]
erl_anno:is_filename/1                                   9     0.17     3  [      0.33]
erl_anno:set_file/2                                      9     0.17     3  [      0.33]
erl_anno:set/3                                           9     0.17     3  [      0.33]
erl_anno:set_anno/3                                      9     0.17     3  [      0.33]
erl_anno:reset_simplify/1                                9     0.17     3  [      0.33]
erl_anno:simplify/1                                      9     0.17     3  [      0.33]
'Elixir.Enum':'-reduce/3-lists^foldl/2-0-'/3             8     0.17     3  [      0.38]
'Elixir.IEx':color/2                                     2     0.17     3  [      1.50]
'Elixir.IEx':dont_display_result/0                       2     0.17     3  [      1.50]
'Elixir.IEx':inspect_opts/0                              2     0.17     3  [      1.50]
elixir_rewrite:rewrite/6                                 2     0.17     3  [      1.50]
'Elixir.Inspect':'impl_for!'/1                           2     0.17     3  [      1.50]
'Elixir.String.Chars':impl_for/1                         7     0.17     3  [      0.43]
'Elixir.List.Chars':'impl_for!'/1                        2     0.17     3  [      1.50]
'Elixir.List.Chars':to_charlist/1                        2     0.17     3  [      1.50]
'Elixir.GenServer':whereis/1                             1     0.17     3  [      3.00]
elixir:eval_forms/4                                      2     0.17     3  [      1.50]
elixir:'-string_to_quoted/4-after$^0/0-0-'/0             2     0.17     3  [      1.50]
erlang:integer_to_binary/1                               7     0.17     3  [      0.43]
erlang:atom_to_binary/2                                  3     0.17     3  [      1.00]
unicode:characters_to_list/2                             2     0.17     3  [      1.50]
erlang:group_leader/0                                    4     0.17     3  [      0.75]
elixir_dispatch:expand_require/5                         2     0.22     4  [      2.00]
elixir_dispatch:get_macros/2                             2     0.22     4  [      2.00]
'Elixir.Keyword':update/4                                6     0.22     4  [      0.67]
lists:umergel/3                                          6     0.22     4  [      0.67]
elixir_utils:elixir_to_erl/1                             3     0.22     4  [      1.33]
'Elixir.Kernel':'-struct/2-fun-0-'/2                     6     0.22     4  [      0.67]
elixir_scope:dump_binding/2                              2     0.22     4  [      2.00]
dict:get_slot/2                                          2     0.22     4  [      2.00]
elixir_tokenizer:tokenize_other_identifier/7             2     0.22     4  [      2.00]
elixir_tokenizer:add_token_with_nl/2                     3     0.22     4  [      1.33]
'Elixir.IO.ANSI':format_sequence/1                       5     0.22     4  [      0.80]
'Elixir.IEx.Config':history_size/0                       2     0.22     4  [      2.00]
'Elixir.String':to_charlist/1                            2     0.22     4  [      2.00]
erl_lint:pack_warnings/1                                 4     0.22     4  [      1.00]
erl_lint:exprs/3                                         4     0.22     4  [      1.00]
erl_lint:vtupdate/2                                      4     0.22     4  [      1.00]
gb_sets:from_list/1                                      4     0.22     4  [      1.00]
'Elixir.IEx.History.State':append/2                      2     0.22     4  [      2.00]
'Elixir.IEx.Evaluator':do_eval/4                         2     0.22     4  [      2.00]
'Elixir.IEx.Evaluator':handle_eval/6                     2     0.22     4  [      2.00]
'Elixir.IEx.Evaluator':update_history/4                  2     0.22     4  [      2.00]
elixir:quoted_to_erl/3                                   2     0.22     4  [      2.00]
maps:put/3                                               6     0.22     4  [      0.67]
maps:is_key/2                                            6     0.22     4  [      0.67]
erlang:binary_to_atom/2                                  1     0.22     4  [      4.00]
erlang:list_to_integer/1                                 1     0.22     4  [      4.00]
erlang:erase/1                                           4     0.22     4  [      1.00]
erlang:atom_to_list/1                                    1     0.22     4  [      4.00]
application:get_env/3                                   14     0.28     5  [      0.36]
erl_eval:check_command/2                                 2     0.28     5  [      2.50]
erl_eval:ret_expr/3                                      7     0.28     5  [      0.71]
erl_eval:bindings/1                                      2     0.28     5  [      2.50]
lists:umerge2_1/5                                        8     0.28     5  [      0.63]
'Elixir.Inspect.Algebra':format/3                       10     0.28     5  [      0.50]
'Elixir.Kernel':struct/3                                 4     0.28     5  [      1.25]
dict:on_bucket/3                                         2     0.28     5  [      2.50]
elixir_parser:meta_from_token/1                          4     0.28     5  [      1.25]
elixir_tokenizer:strip_horizontal_space/1                3     0.28     5  [      1.67]
elixir_tokenizer:strip_dot_space/3                       3     0.28     5  [      1.67]
'Elixir.IEx.Config':color/2                              6     0.28     5  [      0.83]
'Elixir.IEx.Config':'colors_enabled?'/1                  6     0.28     5  [      0.83]
